Date,Open,High,Low,Close,Adj Close,Volume
2003-06-04,25.712376,26.103258,25.168955,25.960253,16.322050,5465142
2003-06-05,25.874449,26.303465,25.502634,26.198595,16.471901,4864641
2003-06-06,26.503674,26.856421,26.122326,26.255796,16.507870,5021558
2003-06-09,26.293930,26.637144,25.350096,25.674240,16.142221,3990688
2003-06-10,26.093723,26.208128,25.512169,25.969786,16.328043,3466442
2003-06-11,26.169992,26.513206,25.655174,26.465538,16.639734,4581434
2003-06-12,26.618076,26.694347,26.026987,26.608543,16.729645,2519590
2003-06-13,27.457043,27.457043,26.303465,26.560875,16.699678,4727233
2003-06-16,26.780149,27.504711,26.761084,27.294970,17.161226,5374516
2003-06-17,25.426365,27.552380,25.426365,27.247301,17.131266,4025302
2003-06-18,27.523779,27.847923,27.399839,27.666784,17.395000,4891598
2003-06-19,27.666784,27.666784,26.551340,26.742016,16.813566,4182114
2003-06-20,27.066160,27.418907,26.865953,27.132896,17.059330,4476334
2003-06-23,27.209166,27.380774,25.903049,25.912584,16.292074,4539373
2003-06-24,26.017454,26.465538,25.912584,26.313000,16.543839,4211483
2003-06-25,26.417870,26.656212,25.807713,25.960253,16.322050,2982474
2003-06-26,25.883984,26.103258,25.655174,25.979321,16.334038,4515563
2003-06-27,25.760044,26.360666,25.168955,25.445433,15.998360,3716397
2003-06-30,25.597973,25.950718,25.502634,25.597973,16.094273,3953137
2003-07-01,25.874449,25.874449,24.940147,25.740976,16.184181,4376897
2003-07-02,26.112791,26.522739,25.750511,26.522739,16.675701,4257845
2003-07-03,26.322533,26.446470,25.817247,25.903049,16.286087,2093417
2003-07-07,26.408337,26.799217,26.322533,26.751549,16.819563,3398577
2003-07-08,26.837353,27.094763,26.150927,26.513206,16.669714,4715276
2003-07-09,26.675280,27.028027,26.456003,26.722948,16.801580,3352845
2003-07-10,25.998386,26.703880,25.998386,26.179527,16.459919,3116210
2003-07-11,26.246264,26.541807,26.017454,26.265329,16.513853,2291451
2003-07-14,26.742016,27.266369,26.541807,27.018492,16.987404,4919394
2003-07-15,27.256836,27.447510,26.494139,26.579943,16.711668,3995303
2003-07-16,26.789684,26.808750,26.065123,26.456003,16.633745,3020759
2003-07-17,26.456003,26.694347,26.169992,26.217663,16.483894,3893558
2003-07-18,25.979321,26.503674,25.645639,26.408337,16.603771,6560310
2003-07-21,26.513206,26.980358,26.322533,26.541807,16.687693,4357807
2003-07-22,26.856421,27.542847,26.579943,27.399839,17.227163,4341024
2003-07-23,27.580980,27.590513,26.789684,27.104296,17.041342,2408930
2003-07-24,27.552380,27.552380,26.169992,26.951756,16.945438,3192152
2003-07-25,26.951756,27.533312,26.103258,27.476110,17.275120,2542141
2003-07-28,27.476110,27.723986,27.113829,27.294970,17.161226,2685213
2003-07-29,27.466576,27.466576,26.456003,26.989891,16.969416,2863003
2003-07-30,27.275902,27.275902,26.722948,27.037560,16.999388,2175022
2003-07-31,27.171032,27.495176,26.789684,26.961290,16.951435,3777234
2003-08-01,26.808750,26.932690,26.456003,26.703880,16.789595,2515079
2003-08-04,26.913622,27.104296,26.360666,26.808750,16.855526,2724652
2003-08-05,26.913622,27.094763,26.446470,26.513206,16.669714,2991075
2003-08-06,26.408337,26.885021,26.046055,26.322533,16.549824,2895205
2003-08-07,26.274864,26.599010,26.169992,26.360666,16.573797,1912690
2003-08-08,26.379736,26.608543,26.150927,26.379736,16.585793,2565008
2003-08-11,26.265329,26.494139,25.883984,26.189060,16.465914,2176596
2003-08-12,26.322533,26.503674,25.941185,26.494139,16.657724,2267012
2003-08-13,26.780149,26.856421,26.389269,26.608543,16.729645,2333198
2003-08-14,26.732481,27.504711,26.608543,27.142429,17.065323,3408647
2003-08-15,27.647717,27.781187,27.047092,27.218700,17.113276,2096249
2003-08-18,27.418907,28.343676,27.275902,27.962328,17.697363,4786916
2003-08-19,28.019529,28.486681,27.809790,28.095800,17.781828,5009285
2003-08-20,27.857458,28.076733,27.514244,27.619116,17.480135,3098274
2003-08-21,27.695385,28.019529,27.361706,27.809790,17.600821,3171698
2003-08-22,28.172070,28.219738,27.552380,27.762121,17.570646,4343856
2003-08-25,27.800255,27.828856,27.171032,27.485643,17.395664,2093417
2003-08-26,27.485643,27.542847,26.694347,27.075693,17.136196,3650421
2003-08-27,26.885021,27.504711,26.885021,27.275902,17.262922,2298374
2003-08-28,27.457043,27.733519,26.989891,27.647717,17.498232,2627942
2003-08-29,27.514244,27.886059,27.495176,27.638184,17.492205,2299633
2003-09-02,27.971863,28.419947,27.752586,28.381811,17.962841,3492245
2003-09-03,28.572485,28.648754,28.219738,28.429480,17.993017,4241587
2003-09-04,28.458080,28.601086,28.029064,28.076733,17.769760,4757232
2003-09-05,28.076733,28.362743,27.905127,28.296007,17.908541,4695871
2003-09-08,28.505749,28.667822,28.267406,28.658287,18.137821,4053622
2003-09-09,28.467613,28.648754,27.476110,27.752586,17.564615,4665872
2003-09-10,27.504711,27.647717,26.608543,26.780149,16.949152,5131798
2003-09-11,26.999426,27.285437,26.827818,27.104296,17.154305,2742483
2003-09-12,27.142429,27.294970,26.761084,27.094763,17.148270,2537526
2003-09-15,27.256836,27.266369,26.789684,26.942223,17.051731,1701649
2003-09-16,27.171032,27.685850,27.132896,27.666784,17.510303,2450991
2003-09-17,27.552380,27.561913,27.180565,27.256836,17.250845,1832763
2003-09-18,27.123363,27.161497,26.799217,26.980358,17.075867,4057608
2003-09-19,26.989891,27.161497,26.570410,26.665747,16.876745,4085824
2003-09-22,26.551340,26.722948,26.122326,26.313000,16.653502,3825589
2003-09-23,26.217663,26.427402,25.645639,25.855383,16.363863,5230815
2003-09-24,26.074656,26.208128,25.264292,25.445433,16.104404,4780623
2003-09-25,25.435900,25.588438,24.940147,25.283360,16.001837,4098621
2003-09-26,25.025949,25.550303,24.930613,24.997349,15.820816,3627240
2003-09-29,25.130821,25.407297,24.730406,25.283360,16.001837,3627974
2003-09-30,25.254759,25.273827,24.816210,25.121286,15.899261,3641715
2003-10-01,25.121286,25.664707,25.025949,25.607506,16.206984,3353474
2003-10-02,25.740976,25.740976,25.226158,25.321495,16.025969,3346027
2003-10-03,25.559837,26.169992,25.559837,25.779112,16.315598,3534621
2003-10-06,25.845848,26.122326,25.731443,26.046055,16.484543,1986218
2003-10-07,26.026987,26.208128,25.836313,26.122326,16.532814,2458543
2003-10-08,26.122326,26.293930,25.883984,26.293930,16.641424,2145128
2003-10-09,26.513206,26.904087,26.379736,26.570410,16.816404,3343614
2003-10-10,26.370201,26.494139,25.931650,26.217663,16.593157,3249212
2003-10-13,27.085228,27.600048,26.894554,27.428440,17.359453,6870683
2003-10-14,27.600048,27.685850,27.237766,27.685850,17.522369,4188512
2003-10-15,27.752586,28.019529,27.380774,27.781187,17.582714,4399868
2003-10-16,27.781187,28.772692,27.781187,28.219738,17.860271,6499578
2003-10-17,28.219738,28.219738,27.638184,27.657249,17.504272,3615073
2003-10-20,27.647717,28.133936,27.647717,27.866991,17.637014,2773741
2003-10-21,27.695385,27.828856,27.409374,27.695385,17.528404,2943455
2003-10-22,27.409374,27.647717,27.247301,27.275902,17.262922,4062748
2003-10-23,27.314037,27.561913,27.275902,27.428440,17.359453,3000201
2003-10-24,27.218700,27.418907,26.856421,27.075693,17.136196,2595426
2003-10-27,27.552380,27.790722,27.371239,27.476110,17.389627,3117259
2003-10-28,27.743053,28.391344,27.695385,28.257874,17.884407,5997570
2003-10-29,28.019529,28.324610,27.790722,28.105333,17.787863,3209563
2003-10-30,28.105333,29.602123,28.105333,29.039637,18.379185,6370772
2003-10-31,29.144506,29.563990,29.077770,29.182640,18.469688,4132081
2003-11-03,29.554455,29.668859,29.316113,29.373316,18.590370,3573641
2003-11-04,28.896629,29.544922,28.419947,29.287512,18.536066,4964602
2003-11-05,29.125439,29.535389,28.934765,28.982433,18.342981,4477278
2003-11-06,28.982433,29.020569,28.734556,29.020569,18.367115,4764889
2003-11-07,29.077770,29.258911,28.906164,29.049170,18.385216,3977262
2003-11-10,29.049170,29.096838,28.276939,28.410412,17.980949,2923840
2003-11-11,28.419947,28.572485,27.990929,28.353210,17.944735,2525464
2003-11-12,28.353210,29.001501,28.353210,28.906164,18.294708,2565217
2003-11-13,28.696423,29.001501,28.524817,28.801292,18.228338,2813495
2003-11-14,28.648754,28.791759,28.191137,28.353210,17.944735,3097540
2003-11-17,28.353210,28.458080,27.762121,28.315075,17.920599,3442212
2003-11-18,27.695385,28.124401,27.504711,27.533312,17.536839,3012473
2003-11-19,27.628649,27.933727,27.304502,27.762121,17.682571,2701890
2003-11-20,27.523779,27.990929,27.380774,27.638184,17.603636,1971009
2003-11-21,27.638184,27.838390,27.266369,27.600048,17.579346,1978247
2003-11-24,27.743053,28.219738,27.743053,28.067200,17.876886,3090827
2003-11-25,28.076733,28.362743,27.733519,28.315075,18.034763,3315399
2003-11-26,28.410412,28.534349,28.124401,28.458080,18.125849,2486759
2003-11-28,28.267406,28.572485,28.133936,28.305540,18.028692,1044296
2003-12-01,28.543884,28.972900,28.296007,28.648754,18.247286,2978069
2003-12-02,28.601086,28.601086,27.838390,27.886059,17.761509,5449933
2003-12-03,28.029064,28.296007,27.933727,28.257874,17.998331,4737093
2003-12-04,28.257874,28.820360,28.238806,28.791759,18.338379,3844260
2003-12-05,28.429480,28.791759,28.410412,28.524817,18.168362,4216728
2003-12-08,28.419947,28.820360,28.419947,28.782227,18.332317,2911043
2003-12-09,28.839428,29.268444,28.782227,29.058702,18.508411,3679056
2003-12-10,28.934765,29.220776,28.725023,28.887096,18.399109,3065338
2003-12-11,28.982433,29.535389,28.896629,29.535389,18.812023,2643571
2003-12-12,29.420984,29.983473,29.220776,29.830933,19.000267,5669995
2003-12-15,30.031139,30.107410,29.325647,29.392382,18.720932,5500071
2003-12-16,28.458080,29.506786,28.410412,29.068237,18.514488,10333454
2003-12-17,28.553417,28.848963,28.553417,28.848963,18.374815,7722294
2003-12-18,29.554455,30.221813,29.459118,30.097876,19.170284,11266565
2003-12-19,30.221813,30.479223,30.078808,30.336218,19.322092,7784075
2003-12-22,30.431555,31.375391,30.364819,31.280054,19.923260,6474929
2003-12-23,31.175182,31.442127,31.165649,31.375391,19.983974,3699090
2003-12-24,31.098913,31.394459,31.089380,31.203785,19.874683,1633784
2003-12-26,30.984510,31.299122,30.984510,31.280054,19.923260,998878
2003-12-29,31.270519,31.604200,31.137049,31.604200,20.129711,3775346
2003-12-30,31.670937,31.880676,31.251453,31.470728,20.044697,2735351
2003-12-31,31.575600,31.937880,31.394459,31.871143,20.299744,3796639
2004-01-02,31.508863,32.223888,31.318190,31.775806,20.239016,3625667
2004-01-05,31.604200,32.204823,31.508863,31.937880,20.342249,5276233
2004-01-06,31.670937,32.424099,31.670937,32.347828,20.603354,3535460
2004-01-07,32.319225,32.586170,32.042751,32.157154,20.481905,6442413
2004-01-08,33.606277,33.787415,33.081921,33.701614,21.465624,8090147
2004-01-09,33.320267,33.501404,33.272594,33.310730,21.216654,6157109
2004-01-12,33.167725,33.463268,33.100990,33.377468,21.259165,4036525
